simulations,probability_estimate,variance,error
185000,2.227553E-07,2.710211E-10,3.827504E-08
186000,2.215938E-07,2.695736E-10,3.806994E-08
187000,2.220258E-07,2.686027E-10,3.789958E-08
188000,2.272473E-07,2.714595E-10,3.799912E-08
189000,2.259972E-07,2.700271E-10,3.779834E-08
190000,2.253208E-07,2.686982E-10,3.760587E-08
191000,2.241867E-07,2.672962E-10,3.740931E-08
192000,2.231160E-07,2.659133E-10,3.721512E-08
193000,2.224841E-07,2.646316E-10,3.702902E-08
194000,2.213702E-07,2.632731E-10,3.683854E-08
195000,2.201200E-07,2.619241E-10,3.664970E-08
196000,2.191694E-07,2.606000E-10,3.646357E-08
197000,2.181411E-07,2.592843E-10,3.627897E-08
198000,2.169686E-07,2.579773E-10,3.609592E-08
199000,2.186942E-07,2.583314E-10,3.602981E-08
200000,2.177118E-07,2.570476E-10,3.585022E-08
201000,2.177052E-07,2.558607E-10,3.567827E-08
202000,2.181858E-07,2.551653E-10,3.554145E-08
203000,2.189069E-07,2.544955E-10,3.540724E-08
204000,2.192713E-07,2.536939E-10,3.526468E-08
205000,2.181966E-07,2.524585E-10,3.509280E-08
206000,2.178314E-07,2.512825E-10,3.492589E-08
207000,2.166948E-07,2.500695E-10,3.475723E-08
208000,2.160294E-07,2.489124E-10,3.459327E-08
209000,2.160531E-07,2.480347E-10,3.444951E-08
210000,2.170461E-07,2.473720E-10,3.432145E-08
211000,2.162430E-07,2.462222E-10,3.416036E-08
212000,2.150579E-07,2.450611E-10,3.399924E-08
213000,2.138839E-07,2.439108E-10,3.383964E-08
214000,2.128962E-07,2.427778E-10,3.368198E-08
215000,2.117719E-07,2.416491E-10,3.352535E-08
216000,2.125370E-07,2.407209E-10,3.338336E-08
217000,2.114287E-07,2.396121E-10,3.322955E-08
218000,2.104226E-07,2.385160E-10,3.307734E-08
219000,2.096882E-07,2.374434E-10,3.292744E-08
220000,2.085760E-07,2.363643E-10,3.277779E-08
221000,2.088138E-07,2.356448E-10,3.265373E-08
222000,2.080533E-07,2.345934E-10,3.250734E-08
223000,2.069813E-07,2.335417E-10,3.236159E-08
224000,2.063380E-07,2.325359E-10,3.221967E-08
225000,2.052654E-07,2.315027E-10,3.207649E-08
226000,2.062731E-07,2.310805E-10,3.197624E-08
227000,2.054252E-07,2.300689E-10,3.183582E-08
228000,2.046280E-07,2.290675E-10,3.169672E-08
229000,2.035816E-07,2.280675E-10,3.155833E-08
230000,2.053607E-07,2.288418E-10,3.154305E-08
231000,2.045180E-07,2.278603E-10,3.140714E-08
232000,2.037270E-07,2.268831E-10,3.127211E-08
233000,2.029220E-07,2.259186E-10,3.113852E-08
234000,2.021577E-07,2.249659E-10,3.100634E-08
235000,2.016546E-07,2.240669E-10,3.087841E-08
236000,2.015676E-07,2.231949E-10,3.075290E-08
237000,2.016114E-07,2.223442E-10,3.062941E-08
238000,2.008181E-07,2.214175E-10,3.050124E-08
239000,2.002287E-07,2.205103E-10,3.037494E-08
240000,1.994716E-07,2.195976E-10,3.024880E-08
241000,1.988152E-07,2.187106E-10,3.012495E-08
242000,1.981535E-07,2.178244E-10,3.000168E-08
243000,1.987641E-07,2.171878E-10,2.989610E-08
244000,1.980639E-07,2.163102E-10,2.977444E-08
245000,1.975005E-07,2.154642E-10,2.965545E-08
246000,1.967706E-07,2.145978E-10,2.953555E-08
247000,1.988471E-07,2.156919E-10,2.955075E-08
248000,1.980012E-07,2.148236E-10,2.943168E-08
249000,1.976989E-07,2.140568E-10,2.932006E-08
250000,1.969859E-07,2.132126E-10,2.920360E-08
251000,1.962040E-07,2.123653E-10,2.908740E-08
252000,1.956448E-07,2.115520E-10,2.897399E-08
253000,1.948010E-07,2.107171E-10,2.885956E-08
254000,1.939455E-07,2.098883E-10,2.874599E-08
255000,1.934131E-07,2.090715E-10,2.863369E-08
256000,1.926179E-07,2.082562E-10,2.852194E-08
