simulations,probability_estimate,variance,error
239000,0.0006469271000000001,0.0001760004,2.713676e-05
240000,0.0006462766,0.0001752683,2.702378e-05
241000,0.0006454902,0.0001745413,2.691167e-05
242000,0.0006454408,0.0001738825,2.680527e-05
243000,0.0006457215,0.0001732721,2.670307e-05
244000,0.0006453789,0.0001725767,2.659477e-05
245000,0.0006447611,0.0001718742,2.648636e-05
246000,0.0006443756,0.0001711899,2.63798e-05
247000,0.0006438801,0.0001705014,2.627336e-05
248000,0.0006434019,0.00016982,2.616788e-05
249000,0.0006431605,0.0001691497,2.606369e-05
250000,0.0006426301,0.000168476,2.595966e-05
251000,0.0006419360000000001,0.0001678054,2.585629e-05
252000,0.0006418062,0.0001671952,2.575797e-05
253000,0.000641927,0.0001665868,2.56602e-05
254000,0.000641376,0.0001659331,2.555934e-05
255000,0.0006417867,0.0001653763,2.546634e-05
256000,0.000641182,0.0001647314,2.536695e-05
257000,0.0006404701,0.0001640907,2.526827e-05
258000,0.0006401047,0.000163465,2.517112e-05
259000,0.0006396765,0.0001628395,2.507437e-05
260000,0.0006392024,0.000162215,2.497807e-05
261000,0.0006385748,0.0001615944,2.488243e-05
262000,0.0006395734,0.0001612074,2.480515e-05
263000,0.0006391366,0.0001606008,2.471132e-05
264000,0.000639056,0.0001600499,2.462214e-05
265000,0.0006386942,0.0001594514,2.452965e-05
266000,0.0006382634,0.0001588553,2.443768e-05
267000,0.0006376482000000001,0.0001582613,2.434623e-05
268000,0.0006370039,0.000157671,2.425541e-05
269000,0.000636728,0.0001571032,2.416665e-05
270000,0.0006362692,0.0001565279,2.407765e-05
271000,0.0006362043,0.0001559877,2.399167e-05
272000,0.0006356291,0.000155416,2.39036e-05
273000,0.0006351598,0.0001548499,2.38163e-05
274000,0.0006345591000000001,0.0001542851,2.37294e-05
275000,0.0006342230000000001,0.0001537344,2.36439e-05
276000,0.0006380183000000001,0.0001578743,2.39167e-05
277000,0.0006378767,0.0001573321,2.383246e-05
278000,0.0006374587000000001,0.0001567705,2.374706e-05
279000,0.0006376194,0.000156336,2.367159e-05
280000,0.0006417552,0.0001611608,2.399113e-05
281000,0.0006415163000000001,0.0001606034,2.390695e-05
282000,0.000641531,0.0001600609,2.382419e-05
283000,0.0006410121000000001,0.000159496,2.374005e-05
284000,0.0006410667,0.0001590054,2.366175e-05
285000,0.0006406466,0.0001584508,2.357896e-05
286000,0.0006402413,0.0001579005,2.34968e-05
287000,0.0006400462,0.0001573603,2.341567e-05
288000,0.000639583,0.0001568157,2.33345e-05
289000,0.0006395903,0.0001562966,2.325551e-05
290000,0.000639026,0.0001557582,2.317536e-05
291000,0.0006387178000000001,0.000155235,2.309661e-05
292000,0.0006382809000000001,0.0001547055,2.301767e-05
293000,0.0006378985,0.0001541837,2.293958e-05
294000,0.0006375122,0.0001536631,2.286184e-05
295000,0.0006373384,0.0001531608,2.278572e-05
296000,0.0006369641,0.000152648,2.270909e-05
297000,0.0006367896,0.0001521474,2.263362e-05
298000,0.0006364067,0.0001516399,2.25579e-05
299000,0.0006365279,0.0001511613,2.248458e-05
300000,0.000636118,0.0001506609,2.240988e-05
301000,0.0006374343,0.0001505306,2.236295e-05
302000,0.0006375117,0.0001500734,2.229197e-05
303000,0.000637174,0.000149582,2.221868e-05
304000,0.0006368219,0.0001490951,2.214598e-05
305000,0.0006363469,0.0001486078,2.207349e-05
306000,0.0006358925,0.0001481239,2.200148e-05
307000,0.0006357409,0.0001476716,2.193205e-05
308000,0.0006355895,0.0001472192,2.186285e-05
309000,0.0006350898,0.0001467434,2.179215e-05
310000,0.0006348881,0.0001462808,2.172265e-05
311000,0.0006346998,0.0001458314,2.165436e-05
312000,0.0006346104,0.0001453884,2.158676e-05
313000,0.0006348597,0.0001450672,2.152844e-05
314000,0.0006345849,0.0001446096,2.14602e-05
315000,0.0006342941,0.0001441542,2.139234e-05
316000,0.0006338846,0.0001436996,2.132476e-05
317000,0.0006334354,0.0001432473,2.125757e-05
318000,0.0006335469,0.0001428434,2.119417e-05
319000,0.0006332341,0.0001423998,2.112805e-05
320000,0.000632691,0.0001419551,2.106204e-05
321000,0.0006323869000000001,0.0001415226,2.099715e-05
322000,0.0006319912,0.0001410844,2.093204e-05
323000,0.0006331541,0.0001413462,2.0919e-05
