simulations,probability_estimate,variance,error
230000,1.378844E-06,3.806236E-08,4.068028E-07
231000,1.379827E-06,3.790296E-08,4.050705E-07
232000,1.377606E-06,3.774111E-08,4.033326E-07
233000,1.399401E-06,3.775177E-08,4.025230E-07
234000,1.394480E-06,3.759047E-08,4.008030E-07
235000,1.392810E-06,3.743337E-08,3.991127E-07
236000,1.390956E-06,3.727699E-08,3.974335E-07
237000,1.386928E-06,3.711981E-08,3.957571E-07
238000,1.384907E-06,3.696472E-08,3.940989E-07
239000,1.381934E-06,3.681061E-08,3.924529E-07
240000,1.378713E-06,3.665761E-08,3.908197E-07
241000,1.374017E-06,3.650553E-08,3.891982E-07
242000,1.370766E-06,3.635492E-08,3.875912E-07
243000,1.371726E-06,3.620946E-08,3.860183E-07
244000,1.367374E-06,3.606115E-08,3.844367E-07
245000,1.363102E-06,3.591409E-08,3.828683E-07
246000,1.358900E-06,3.576819E-08,3.813124E-07
247000,1.354954E-06,3.562347E-08,3.797691E-07
248000,1.383065E-06,3.571365E-08,3.794821E-07
249000,1.378942E-06,3.557036E-08,3.779588E-07
250000,1.375580E-06,3.542827E-08,3.764480E-07
251000,1.372650E-06,3.528777E-08,3.749517E-07
252000,1.368924E-06,3.514794E-08,3.734648E-07
253000,1.878189E-06,8.427876E-08,5.771634E-07
254000,1.871709E-06,8.394699E-08,5.748913E-07
255000,1.865715E-06,8.361784E-08,5.726370E-07
256000,1.859915E-06,8.329129E-08,5.704004E-07
257000,1.854126E-06,8.296734E-08,5.681814E-07
258000,1.848145E-06,8.264587E-08,5.659795E-07
259000,1.843277E-06,8.232720E-08,5.637957E-07
260000,1.837459E-06,8.201060E-08,5.616274E-07
261000,1.833885E-06,8.169734E-08,5.594789E-07
262000,1.828253E-06,8.138561E-08,5.573438E-07
263000,1.823408E-06,8.107672E-08,5.552265E-07
264000,1.817208E-06,8.076963E-08,5.531235E-07
265000,1.814058E-06,8.046749E-08,5.510453E-07
266000,1.809044E-06,8.016537E-08,5.489750E-07
267000,1.803441E-06,7.986516E-08,5.469191E-07
268000,1.798841E-06,7.956741E-08,5.448792E-07
269000,1.792934E-06,7.927166E-08,5.428537E-07
270000,1.787655E-06,7.897812E-08,5.408434E-07
271000,1.785055E-06,7.868756E-08,5.388506E-07
272000,1.780559E-06,7.839875E-08,5.368712E-07
273000,1.775298E-06,7.811169E-08,5.349050E-07
274000,1.771211E-06,7.782685E-08,5.329537E-07
275000,1.766561E-06,7.754399E-08,5.310161E-07
276000,1.761212E-06,7.726307E-08,5.290923E-07
277000,1.756318E-06,7.698424E-08,5.271825E-07
278000,1.751290E-06,7.670736E-08,5.252864E-07
279000,1.763106E-06,7.646360E-08,5.235103E-07
280000,1.760408E-06,7.619249E-08,5.216474E-07
281000,1.758605E-06,7.592269E-08,5.197956E-07
282000,1.752872E-06,7.565347E-08,5.179524E-07
283000,1.750670E-06,7.538770E-08,5.161275E-07
284000,1.751049E-06,7.513034E-08,5.143379E-07
285000,1.747632E-06,7.486750E-08,5.125358E-07
286000,1.742524E-06,7.460578E-08,5.107439E-07
287000,1.737077E-06,7.434584E-08,5.089644E-07
288000,1.732351E-06,7.408779E-08,5.071975E-07
289000,1.728028E-06,7.383173E-08,5.054435E-07
290000,1.723719E-06,7.357736E-08,5.037013E-07
291000,1.720538E-06,7.332541E-08,5.019735E-07
292000,1.716481E-06,7.307480E-08,5.002561E-07
293000,1.715271E-06,7.282912E-08,4.985615E-07
294000,1.711345E-06,7.258159E-08,4.968663E-07
295000,1.707420E-06,7.233572E-08,4.951826E-07
296000,1.703339E-06,7.209172E-08,4.935110E-07
297000,1.700398E-06,7.185000E-08,4.918528E-07
298000,1.695810E-06,7.160894E-08,4.902025E-07
299000,1.690791E-06,7.136946E-08,4.885630E-07
300000,1.688448E-06,7.113299E-08,4.869394E-07
301000,1.685756E-06,7.089731E-08,4.853238E-07
302000,1.684945E-06,7.066500E-08,4.837252E-07
303000,1.682743E-06,7.043309E-08,4.821332E-07
304000,1.683389E-06,7.021021E-08,4.805774E-07
305000,1.683885E-06,6.998362E-08,4.790141E-07
306000,1.679051E-06,6.975494E-08,4.774488E-07
307000,1.676312E-06,6.952815E-08,4.758950E-07
308000,1.671918E-06,6.930250E-08,4.743502E-07
309000,1.670401E-06,6.908146E-08,4.728262E-07
310000,1.667837E-06,6.885896E-08,4.713021E-07
311000,1.665430E-06,6.863822E-08,4.697890E-07
312000,1.661748E-06,6.841843E-08,4.682839E-07
313000,1.657233E-06,6.819988E-08,4.667879E-07
314000,1.660706E-06,6.799983E-08,4.653600E-07
315000,1.658412E-06,6.778470E-08,4.638852E-07
316000,1.653758E-06,6.757022E-08,4.624174E-07
317000,1.649775E-06,6.735721E-08,4.609591E-07
318000,1.648029E-06,6.714673E-08,4.595141E-07
319000,1.644627E-06,6.693671E-08,4.580753E-07
320000,1.641665E-06,6.672804E-08,4.566455E-07
321000,1.638149E-06,6.652037E-08,4.552236E-07
322000,1.633691E-06,6.631380E-08,4.538100E-07
323000,1.631245E-06,6.610906E-08,4.524069E-07
324000,1.631109E-06,6.591095E-08,4.510309E-07
325000,1.629262E-06,6.570921E-08,4.496467E-07
326000,1.626326E-06,6.550781E-08,4.482680E-07
327000,1.623924E-06,6.530805E-08,4.468991E-07
328000,1.622225E-06,6.510991E-08,4.455399E-07
329000,1.618340E-06,6.491206E-08,4.441859E-07
330000,1.614515E-06,6.471548E-08,4.428403E-07
331000,1.610351E-06,6.451999E-08,4.415025E-07
332000,1.606511E-06,6.432571E-08,4.401728E-07
333000,1.602800E-06,6.413263E-08,4.388513E-07
334000,1.599342E-06,6.394068E-08,4.375376E-07
335000,1.595936E-06,6.374991E-08,4.362318E-07
336000,1.596806E-06,6.356465E-08,4.349489E-07
337000,1.593889E-06,6.337626E-08,4.336590E-07
338000,1.589959E-06,6.318879E-08,4.323761E-07
339000,1.596611E-06,6.303278E-08,4.312046E-07
340000,1.592709E-06,6.284741E-08,4.299364E-07
341000,1.589444E-06,6.266332E-08,4.286763E-07
342000,1.588391E-06,6.248201E-08,4.274294E-07
343000,1.586672E-06,6.230033E-08,4.261850E-07
344000,1.583757E-06,6.211935E-08,4.249465E-07
345000,1.579569E-06,6.193931E-08,4.237148E-07
346000,1.581338E-06,6.176728E-08,4.225141E-07
347000,1.577554E-06,6.158934E-08,4.212967E-07
348000,1.575204E-06,6.141312E-08,4.200887E-07
349000,1.573258E-06,6.123781E-08,4.188872E-07
350000,1.570282E-06,6.106298E-08,4.176909E-07
351000,1.566133E-06,6.088902E-08,4.165009E-07
352000,1.565084E-06,6.071847E-08,4.153260E-07
353000,1.561612E-06,6.054650E-08,4.141495E-07
354000,1.558524E-06,6.037558E-08,4.129800E-07
355000,1.557497E-06,6.020698E-08,4.118217E-07
356000,1.566212E-06,6.008808E-08,4.108366E-07
357000,1.568040E-06,5.992590E-08,4.097068E-07
358000,1.565329E-06,5.975874E-08,4.085632E-07
359000,1.561573E-06,5.959230E-08,4.074252E-07
360000,1.559908E-06,5.942751E-08,4.062960E-07
361000,1.556936E-06,5.926297E-08,4.051708E-07
362000,1.554899E-06,5.909994E-08,4.040538E-07
363000,1.552244E-06,5.893724E-08,4.029411E-07
364000,1.551443E-06,5.877838E-08,4.018446E-07
365000,1.568325E-06,5.875642E-08,4.012188E-07
366000,1.564819E-06,5.859591E-08,4.001226E-07
367000,1.561716E-06,5.843631E-08,3.990326E-07
368000,1.561404E-06,5.828154E-08,3.979620E-07
369000,1.558067E-06,5.812362E-08,3.968836E-07
370000,1.555249E-06,5.796676E-08,3.958117E-07
371000,1.554867E-06,5.781324E-08,3.947542E-07
372000,1.552331E-06,5.765808E-08,3.936938E-07
373000,1.551731E-06,5.750463E-08,3.926422E-07
374000,1.548599E-06,5.735091E-08,3.915925E-07
375000,1.548935E-06,5.720240E-08,3.905634E-07
376000,1.545415E-06,5.705029E-08,3.895247E-07
377000,1.542017E-06,5.689901E-08,3.884916E-07
378000,1.543843E-06,5.675401E-08,3.874828E-07
379000,1.540551E-06,5.660429E-08,3.864605E-07
380000,1.538681E-06,5.645566E-08,3.854446E-07
381000,1.547904E-06,5.635474E-08,3.845942E-07
382000,1.544330E-06,5.620723E-08,3.835875E-07
383000,1.540785E-06,5.606048E-08,3.825860E-07
384000,1.537258E-06,5.591450E-08,3.815897E-07
385000,1.533801E-06,5.576928E-08,3.805986E-07
386000,1.532306E-06,5.562532E-08,3.796143E-07
387000,1.528685E-06,5.548159E-08,3.786334E-07
388000,1.525493E-06,5.533863E-08,3.776577E-07
389000,1.522946E-06,5.519659E-08,3.766876E-07
390000,1.525885E-06,5.506633E-08,3.757602E-07
391000,1.523733E-06,5.492578E-08,3.748001E-07
392000,1.521722E-06,5.478654E-08,3.738470E-07
393000,1.527592E-06,5.467931E-08,3.730055E-07
394000,1.527121E-06,5.454241E-08,3.720652E-07
395000,1.525570E-06,5.440480E-08,3.711249E-07
396000,1.523508E-06,5.426763E-08,3.701884E-07
397000,1.522522E-06,5.413204E-08,3.692597E-07
398000,1.519516E-06,5.399608E-08,3.683321E-07
399000,1.517826E-06,5.386168E-08,3.674121E-07
400000,1.515006E-06,5.372709E-08,3.664938E-07
401000,1.514158E-06,5.359572E-08,3.655888E-07
402000,1.512326E-06,5.346291E-08,3.646811E-07
403000,1.509033E-06,5.333025E-08,3.637762E-07
404000,1.506238E-06,5.319832E-08,3.628760E-07
405000,1.503396E-06,5.306701E-08,3.619802E-07
406000,1.501107E-06,5.293653E-08,3.610894E-07
407000,1.498908E-06,5.280663E-08,3.602027E-07
408000,1.495978E-06,5.267723E-08,3.593200E-07
409000,1.493316E-06,5.254854E-08,3.584418E-07
410000,1.491718E-06,5.242076E-08,3.575689E-07
411000,1.491658E-06,5.229526E-08,3.567059E-07
412000,1.499118E-06,5.219158E-08,3.559193E-07
413000,1.496657E-06,5.206533E-08,3.550580E-07
414000,1.495967E-06,5.194106E-08,3.542055E-07
415000,1.493270E-06,5.181596E-08,3.533521E-07
416000,1.490652E-06,5.169145E-08,3.525029E-07
417000,1.488629E-06,5.156764E-08,3.516581E-07
418000,1.487069E-06,5.144519E-08,3.508199E-07
419000,1.484830E-06,5.132250E-08,3.499829E-07
420000,1.482005E-06,5.120034E-08,3.491498E-07
421000,1.479176E-06,5.107876E-08,3.483206E-07
422000,1.479193E-06,5.096164E-08,3.475085E-07
423000,1.476505E-06,5.084119E-08,3.466871E-07
424000,1.473647E-06,5.072131E-08,3.458695E-07
425000,1.471586E-06,5.060211E-08,3.450562E-07
426000,1.468862E-06,5.048335E-08,3.442463E-07
427000,1.473725E-06,5.038687E-08,3.435142E-07
428000,1.471844E-06,5.026931E-08,3.427122E-07
429000,1.469266E-06,5.015218E-08,3.419135E-07
430000,1.466224E-06,5.003555E-08,3.411184E-07
431000,1.478701E-06,5.001954E-08,3.406679E-07
432000,1.475965E-06,4.990382E-08,3.398795E-07
433000,1.479199E-06,4.980383E-08,3.391466E-07
434000,1.476527E-06,4.968910E-08,3.383652E-07
435000,1.474932E-06,4.957519E-08,3.375884E-07
436000,1.476358E-06,4.947091E-08,3.368463E-07
